,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,Trevenant,Grimer,Sawk,Zorua,Tangela,Meowstic,Vulpix,Forretress,Wishiwashi,Crobat,Espurr,Alakazam,Metagross,Salamence,Gengar,Lopunny,Gyarados,Slowbro,Slaking,Tyranitar,Greninja,Hydreigon,Hypno,Delphox,Bisharp,Blastoise,Empoleon,Jolteon,Oranguru,Slowking,Kangaskhan
1,Arcanine,Tyrantrum,Venusaur,Budew,Kangaskhan,Braixen,Lickilicky,Victreebel,Espeon,Weezing,Emboar,Gengar,Houndoom,Salamence,Tyranitar,Persian,Accelgor,Absol,Salazzle,Metagross,Garchomp,Sneasel,Weavile,Greninja,Scizor,Slaking,Minior,Goodra,Ribombee,Lucario,Aerodactyl
2,Sawk,Butterfree,Poliwhirl,Tynamo,Seaking,Floette,Quagsire,Litten,Cloyster,Purrloin,Scyther,Crobat,Metagross,Kangaskhan,Gengar,Charizard,Slaking,Tentacruel,Gardevoir,Muk,Togedemaru,Silvally,Seviper,Alakazam,Swalot,Oricorio,Delphox,Nidoqueen,Salazzle,Steelix,Typhlosion
3,Butterfree,Wurmple,Kangaskhan,Vibrava,Corsola,Toucannon,Hitmonlee,Ursaring,Karrablast,Turtwig,Klink,Lucario,Metagross,Lampent,Slaking,Salamence,Gardevoir,Silvally,Garchomp,Lopunny,Klinklang,Greninja,Alakazam,Manectric,Jellicent,Absol,Mienshao,Porygon-Z,Arcanine,Aegislash,Chimecho
4,Elgyem,Mamoswine,Ambipom,Greninja,Caterpie,Toucannon,Magcargo,Stunky,Torracat,Furfrou,Palpitoad,Torterra,Serperior,Pignite,Emboar,Oshawott,Dewott,Samurott,Patrat,Herdier,Stoutland,Purrloin,Liepard,Pansage,Simisage,Pansear,Simisear,Servine,Phione,Froslass,Gallade
5,Tauros,Kabuto,Farfetch'd,Cherubi,Dragonite,Snorlax,Gligar,Minior,Sunkern,Salazzle,Fletchinder,Alakazam,Tyranitar,Metagross,Slaking,Greninja,Gyarados,Aggron,Aerodactyl,Garchomp,Hydreigon,Lucario,Musharna,Togedemaru,Minior,Salamence,Haxorus,Rhyperior,Vaporeon,Druddigon,Bronzong
6,Krokorok,Shellos,Chansey,Umbreon,Skarmory,Luxray,Alakazam,Panpour,Lileep,Bunnelby,Froslass,Tyranitar,Malamar,Skuntank,Houndoom,Bisharp,Sharpedo,Metagross,Greninja,Krookodile,Weavile,Drapion,Zoroark,Incineroar,Hydreigon,Alakazam,Umbreon,Mandibuzz,Snorlax,Sneasel,Raticate
7,Dragonair,Palpitoad,Lampent,Pidgey,Pignite,Drifloon,Armaldo,Starmie,Banette,Snubbull,Swellow,Alakazam,Aerodactyl,Greninja,Tyranitar,Mismagius,Metagross,Hydreigon,Salamence,Goodra,Blastoise,Gengar,Manectric,Gyarados,Garchomp,Zebstrika,Floette,Banette,Crobat,Excadrill,Kingdra
8,Luxio,Lampent,Miltank,Butterfree,Sandygast,Dusclops,Yamask,Primarina,Simisear,Cherrim,Umbreon,Salamence,Alakazam,Kangaskhan,Garchomp,Gardevoir,Slaking,Archeops,Minior,Tyranitar,Metagross,Aerodactyl,Gyarados,Lopunny,Tauros,Pidgeot,Mienshao,Kommo-o,Sharpedo,Starmie,Lucario
9,Lairon,Swablu,Typhlosion,Ralts,Druddigon,Galvantula,Crobat,Cinccino,Floette,Shiftry,Slowbro,Metagross,Lucario,Slaking,Lopunny,Greninja,Salamence,Charizard,Gengar,Silvally,Garchomp,Manectric,Crobat,Ampharos,Snorlax,Aerodactyl,Jolteon,Cinccino,Durant,Scizor,Alakazam
10,Flareon,Shelgon,Venusaur,Clefable,Hariyama,Rampardos,Skarmory,Throh,Natu,Cottonee,Zorua,Slaking,Simipour,Feraligatr,Gardevoir,Banette,Gyarados,Floette,Kingdra,Lopunny,Salamence,Goodra,Blastoise,Blaziken,Metagross,Bruxish,Honchkrow,Milotic,Dragonite,Phione,Samurott
11,Forretress,Treecko,Bibarel,Diglett,Cacnea,Tentacruel,Quagsire,Hawlucha,Gengar,Feebas,Stunky,Aegislash,Metagross,Swellow,Magnezone,Greninja,Bronzong,Aerodactyl,Crobat,Garchomp,Salamence,Bisharp,Steelix,Alakazam,Magneton,Ferrothorn,Manectric,Slaking,Durant,Kangaskhan,Klinklang
12,Lileep,Florges,Bonsly,Wishiwashi,Stoutland,Solosis,Parasect,Grovyle,Arbok,Klink,Marowak,Absol,Crobat,Slaking,Hydreigon,Pidgeot,Kangaskhan,Silvally,Sceptile,Heracross,Honchkrow,Goodra,Noivern,Mandibuzz,Yanmega,Pinsir,Flygon,Volcarona,Drifblim,Kommo-o,Garchomp
13,Crawdaunt,Wailmer,Shedinja,Spoink,Aromatisse,Cacturne,Scraggy,Staraptor,Silcoon,Grotle,Tyranitar,Lucario,Salamence,Kommo-o,Blastoise,Passimian,Sceptile,Floette,Bewear,Heracross,Mienshao,Chesnaught,Tyranitar,Sawk,Hydreigon,Scizor,Venusaur,Hitmonlee,Klefki,Meganium,Florges
14,Forretress,Deerling,Axew,Machop,Swinub,Slowpoke,Inkay,Rattata,Kricketot,Infernape,Clefable,Metagross,Gardevoir,Sigilyph,Crobat,Banette,Gyarados,Decidueye,Floatzel,Salamence,Grumpig,Gallade,Garchomp,Pidgeot,Blastoise,Muk,Starmie,Greninja,Swoobat,Gliscor,Swampert
15,Pumpkaboo,Chansey,Oshawott,Spewpa,Fraxure,Seviper,Happiny,Tyrantrum,Golbat,Shroomish,Gorebyss,Metagross,Kadabra,Scizor,Garchomp,Mismagius,Alakazam,Meowstic,Haxorus,Grumpig,Salamence,Slaking,Greninja,Goodra,Klefki,Espeon,Gardevoir,Delphox,Altaria,Blastoise,Noivern
16,Rhyperior,Happiny,Persian,Herdier,Spewpa,Mudbray,Slowbro,Monferno,Emolga,Buizel,Fletchinder,Hydreigon,Alakazam,Rotom,Floette,Greninja,Sharpedo,Gardevoir,Goodra,Garchomp,Electivire,Jolteon,Slaking,Salamence,Kingdra,Swampert,Heliolisk,Meowstic,Espeon,Delphox,Raichu
17,Vikavolt,Unfezant,Staraptor,Metapod,Venomoth,Luxray,Chimchar,Yanmega,Meowstic,Gligar,Floette,Kangaskhan,Alakazam,Metagross,Slaking,Charizard,Staraptor,Pidgeot,Lopunny,Floette,Dodrio,Delphox,Archeops,Simisear,Typhlosion,Arcanine,Pyroar,Sharpedo,Oricorio,Ninetales,Talonflame
18,Taillow,Seaking,Crawdaunt,Starly,Litwick,Sealeo,Honedge,Wishiwashi,Purrloin,Hitmontop,Excadrill,Slaking,Mienshao,Chesnaught,Blastoise,Simisage,Conkeldurr,Silvally,Kangaskhan,Starmie,Greninja,Simipour,Passimian,Primeape,Charizard,Heracross,Tsareena,Feraligatr,Kommo-o,Swampert,Bruxish
19,Diggersby,Sandslash,Electrode,Croconaw,Goldeen,Lopunny,Roggenrola,Alomomola,Samurott,Flareon,Carnivine,Alakazam,Slaking,Silvally,Dragonite,Garchomp,Lopunny,Decidueye,Tyranitar,Slowbro,Hydreigon,Metagross,Gallade,Heracross,Mienshao,Haxorus,Kommo-o,Manectric,Sceptile,Druddigon,Salamence
